id,restriction_name,icon
1,Gluten,https://res.cloudinary.com/cuukin/image/upload/v1615163942/Cuukin%20-%20Dietary%20Restrictions/gluten_cwkiry.svg
2,Eggs,https://res.cloudinary.com/cuukin/image/upload/v1615163942/Cuukin%20-%20Dietary%20Restrictions/egg_qqrhsl.svg
3,Dairy,https://res.cloudinary.com/cuukin/image/upload/v1615163942/Cuukin%20-%20Dietary%20Restrictions/dairy_mtcdrd.svg
4,Soy,https://res.cloudinary.com/cuukin/image/upload/v1615163944/Cuukin%20-%20Dietary%20Restrictions/soy_eh96vh.svg
5,Nuts,https://res.cloudinary.com/cuukin/image/upload/v1615163944/Cuukin%20-%20Dietary%20Restrictions/nuts_a5kkpn.svg
6,Shellfish,https://res.cloudinary.com/cuukin/image/upload/v1615163944/Cuukin%20-%20Dietary%20Restrictions/shellfish_msezlr.svg
7,Vegetarian,https://res.cloudinary.com/cuukin/image/upload/v1615163944/Cuukin%20-%20Dietary%20Restrictions/veggie_tbvw1y.svg
8,Vegan,https://res.cloudinary.com/cuukin/image/upload/v1615163944/Cuukin%20-%20Dietary%20Restrictions/vegan_mohegz.svg
9,Low Sugar,https://res.cloudinary.com/cuukin/image/upload/v1615163944/Cuukin%20-%20Dietary%20Restrictions/lowsugar_moqpep.svg
10,Low Fat,https://res.cloudinary.com/cuukin/image/upload/v1615163942/Cuukin%20-%20Dietary%20Restrictions/lowfat_xuve1a.svg
11,Halal,https://res.cloudinary.com/cuukin/image/upload/v1615163942/Cuukin%20-%20Dietary%20Restrictions/halal_rsv5ep.svg
12,Kosher,https://res.cloudinary.com/cuukin/image/upload/v1615163942/Cuukin%20-%20Dietary%20Restrictions/kosher_bwm5re.svg
