Id,Value,Nutrient,Created at,Updated at
16,36.2g,carbs,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
15,54g,protein,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
14,42.9g,fat,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
13,747,cal,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
12,8.6g,carbs,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
11,8g,protein,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
10,7g,fat,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
9,120,cal,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
8,38.5g,carbs,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
7,5.5g,protein,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
6,33.6g,fat,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
5,471,cal,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
4,13.7g,carbs,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
3,13.7g,protein,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
2,24.6g,fat,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
1,271,cal,2021-03-13 17:53:27 UTC,2021-03-13 17:53:27 UTC
