Lesson,Title,Badge,VideoUrl
Stove and pasta,Boiling,Stove-top cooking,https://res.cloudinary.com/juliaf1/video/upload/v1617648414/Cuukin%20-%20Skill%20Videos/skillchapter_boiling_lhhooh.mp4
Stove and pasta,Dried pasta,Bread, flour and pasta,https://res.cloudinary.com/juliaf1/video/upload/v1617648404/Cuukin%20-%20Skill%20Videos/skillchapter_driedpasta_x7o0dm.mp4
Stove and pasta,Frying pan,Pots and pans,https://res.cloudinary.com/juliaf1/video/upload/v1616693109/Cuukin%20-%20Skill%20Videos/skillchapter_frying_pan_jyon0q.mp4
Stove and pasta,Stove,Heating equipment,https://res.cloudinary.com/juliaf1/video/upload/v1617648373/Cuukin%20-%20Skill%20Videos/skillchapter_stove_npbrtg.mp4
Stove and pasta,Egg,Eggs,https://res.cloudinary.com/juliaf1/video/upload/v1616692980/Cuukin%20-%20Skill%20Videos/skillchapter_egg_f7xlab.mp4
Oven,Baking 1,Oven cooking,https://res.cloudinary.com/juliaf1/video/upload/v1617648872/Cuukin%20-%20Skill%20Videos/skillchapter_baking1_xksqq0.mp4
Oven,Baking Tray,Containers,https://res.cloudinary.com/juliaf1/video/upload/v1617648905/Cuukin%20-%20Skill%20Videos/skillchapter_bakingtray_npp6ca.mp4
Oven,Oven,Heating equipment,https://res.cloudinary.com/juliaf1/video/upload/v1617648979/Cuukin%20-%20Skill%20Videos/skillchapter_oven_jwgwl3.mp4
Oven,Olive oil,Fats and oils,https://res.cloudinary.com/juliaf1/video/upload/v1616692927/Cuukin%20-%20Skill%20Videos/skillchapter_olive_oil_pwpu47.mp4
Seasoning Magic,Seasoning 1,Seasoning,https://res.cloudinary.com/juliaf1/video/upload/v1616693123/Cuukin%20-%20Skill%20Videos/skillchapter_seasoning_xgufz9.mp4
Seasoning Magic,Salt,Seasoning ingredients,https://res.cloudinary.com/juliaf1/video/upload/v1616692963/Cuukin%20-%20Skill%20Videos/skillchapter_salt_vazgbi.mp4
